Processed Card Product,Processed Card Scheme,Transaction amount,Rate percent,Rate amount
MK_Debit,Masterkard,451.68,0.5,2.3
Carte_Rouge_Unique,Carte Rouge,375.7,0.9,3.4
Carte_Rouge_Unique,Carte Rouge,223.09,0.9,2.0
MK_Student,Masterkard,88.2,0.6,0.5
Carte_Rouge_Unique,Carte Rouge,28.42,0.9,0.3
MK_Credit,Masterkard,202.72,1.5,3.0
Mastro,Masterkard,332.54,0.2,0.7
MK_Student,Masterkard,82.58,0.6,0.5
CP_Credit,ChinaPay,349.75,1.2,4.2
Viza_Super,VIZA,74.83,2.3,1.7
MK_Debit,Masterkard,100.65,0.4,0.4
Viza_Pay,VIZA,26.0,0.2,0.1
CP_QR,ChinaPay,349.05,2.0,7.0
MK_Debit,Masterkard,113.55,0.5,0.6
Viza_Super,VIZA,422.07,2.0,8.4
Viza_Pay,VIZA,716.5,0.2,1.4
MK_Credit,Masterkard,55.4,1.4,0.8
Carte_Rouge_Unique,Carte Rouge,248.13,0.9,2.2
CP_Debit,ChinaPay,250.29,0.6,1.5
Carte_Rouge_Unique,Carte Rouge,256.3,0.9,2.3
VIZA_Debit,VIZA,8.9,0.6,0.1
MK_Credit,Masterkard,4.48,1.4,0.1
Carte_Rouge_Unique,Carte Rouge,230.3,0.9,2.1
MK_Debit,Masterkard,164.33,0.4,0.7
CP_QR,ChinaPay,12.51,2.0,0.3
Carte_Rouge_Magnifique,Carte Rouge,13.89,0.3,0.0
MK_Debit,Masterkard,8.43,0.4,0.0
CP_Credit,ChinaPay,220.56,1.4,3.1
Carte_Rouge_Magnifique,Carte Rouge,97.05,0.3,0.3
Viza_Credit,VIZA,249.13,0.9,2.2
MK_Debit,Masterkard,82.14,0.5,0.4
Carte_Rouge_Unique,Carte Rouge,66.62,0.9,0.6
CP_QR,ChinaPay,106.44,2.0,2.1
Mastro,Masterkard,269.18,0.2,0.5
Viza_Super,VIZA,72.32,2.0,1.4
Carte_Rouge_Magnifique,Carte Rouge,76.25,0.3,0.2
Viza_Pay,VIZA,230.35,0.2,0.5
Viza_Pay,VIZA,98.05,0.2,0.2
Viza_Credit,VIZA,125.56,1.3,1.6
Mastro,Masterkard,380.85,0.2,0.8
Viza_Pay,VIZA,254.29,0.2,0.5
MK_Debit,Masterkard,38.85,0.5,0.2
CP_Credit,ChinaPay,33.44,1.4,0.5
MK_Debit,Masterkard,367.86,0.5,1.8
CP_QR,ChinaPay,331.26,2.0,6.6
Viza_Pay,VIZA,197.35,0.2,0.4
MK_Student,Masterkard,69.94,0.8,0.6
MK_Credit,Masterkard,5.03,1.4,0.1
CP_Debit,ChinaPay,62.23,0.45,0.3
CP_QR,ChinaPay,217.15,2.0,4.3
Viza_Super,VIZA,136.78,2.0,2.7
Viza_Pay,VIZA,239.08,0.2,0.5
CP_QR,ChinaPay,112.09,2.0,2.2
CP_Debit,ChinaPay,282.23,0.45,1.3
Viza_Credit,VIZA,109.63,1.3,1.4
VIZA_Debit,VIZA,50.33,0.6,0.3
Carte_Rouge_Unique,Carte Rouge,395.43,0.9,3.6
VIZA_Debit,VIZA,134.98,0.6,0.8
MK_Credit,Masterkard,314.56,1.5,4.7
Carte_Rouge_Magnifique,Carte Rouge,525.06,0.3,1.6
Carte_Rouge_Unique,Carte Rouge,88.42,0.9,0.8
Viza_Credit,VIZA,168.42,1.3,2.2
CP_QR,ChinaPay,261.85,2.0,5.2
Viza_Super,VIZA,349.16,2.3,8.0
Viza_Credit,VIZA,297.57,0.6,1.8
MK_Credit,Masterkard,311.76,1.2,3.7
MK_Debit,Masterkard,50.4,0.4,0.2
VIZA_Debit,VIZA,110.61,0.6,0.7
MK_Credit,Masterkard,500.05,1.5,7.5
Viza_Credit,VIZA,280.0,0.6,1.7
Mastro,Masterkard,4.85,0.2,0.0
VIZA_Debit,VIZA,459.64,0.8,3.7
Carte_Rouge_Magnifique,Carte Rouge,149.97,0.3,0.4
MK_Student,Masterkard,144.89,0.8,1.2
Carte_Rouge_Unique,Carte Rouge,181.21,0.9,1.6
CP_QR,ChinaPay,163.86,2.0,3.3
MK_Credit,Masterkard,49.48,1.2,0.6
Viza_Credit,VIZA,305.97,1.3,4.0
Viza_Credit,VIZA,210.82,0.6,1.3
Mastro,Masterkard,461.19,0.2,0.9
CP_Credit,ChinaPay,437.65,1.4,6.1
CP_Debit,ChinaPay,72.52,0.6,0.4
MK_Student,Masterkard,8.14,0.8,0.1
Viza_Super,VIZA,87.23,2.3,2.0
Carte_Rouge_Unique,Carte Rouge,139.84,0.9,1.3
MK_Student,Masterkard,18.68,0.8,0.1
Viza_Super,VIZA,71.91,2.0,1.4
MK_Credit,Masterkard,220.94,1.5,3.3
CP_Debit,ChinaPay,163.13,0.6,1.0
Mastro,Masterkard,181.22,0.2,0.4
MK_Credit,Masterkard,273.56,1.2,3.3
CP_QR,ChinaPay,57.35,2.0,1.1
Viza_Pay,VIZA,288.21,0.2,0.6
Viza_Pay,VIZA,2.27,0.2,0.0
Viza_Credit,VIZA,78.33,0.9,0.7
Carte_Rouge_Magnifique,Carte Rouge,224.66,0.3,0.7
Carte_Rouge_Unique,Carte Rouge,17.56,0.9,0.2
MK_Student,Masterkard,103.84,0.6,0.6
CP_Debit,ChinaPay,363.22,0.45,1.6
Viza_Credit,VIZA,140.69,0.6,0.8
Viza_Pay,VIZA,407.86,0.2,0.8
CP_QR,ChinaPay,54.35,2.0,1.1
CP_Credit,ChinaPay,364.11,1.4,5.1
Viza_Super,VIZA,75.32,2.3,1.7
MK_Student,Masterkard,38.79,0.8,0.3
Viza_Super,VIZA,227.99,2.0,4.6
Carte_Rouge_Magnifique,Carte Rouge,89.55,0.3,0.3
MK_Credit,Masterkard,213.46,1.5,3.2
VIZA_Debit,VIZA,428.2,0.8,3.4
CP_Credit,ChinaPay,228.45,1.4,3.2
CP_Debit,ChinaPay,507.41,0.45,2.3
Viza_Super,VIZA,250.67,2.3,5.8
MK_Credit,Masterkard,277.68,1.4,3.9
VIZA_Debit,VIZA,254.04,0.8,2.0
Viza_Pay,VIZA,129.35,0.2,0.3
MK_Debit,Masterkard,172.86,0.4,0.7
Viza_Credit,VIZA,392.69,0.9,3.5
MK_Debit,Masterkard,17.78,0.5,0.1
